,Unnamed: 0,benchmark,program,optimizer,score,cost,input_tokens,output_tokens,optimizer_cost,optimizer_input_tokens,optimizer_output_tokens
0,0,hover,Predict,Baseline,32.4,0.0,1448013,148497,0.0,0,0
1,1,Judge,GeneratorCriticRanker,MIPROv2,58.0,11.983527499999996,2947867,590650,115.13170000000017,38127764,4964749
2,2,MMLU,CoT,MIPROv2-lite,85.2,3.4291824999999987,811521,59638,11.336894999999991,3039286,180332
3,3,Judge,CoT,MIPROv2,62.29,2.3762524999999983,583173,91832,22.57298499999996,7363290,755484
4,4,GSM8K,GeneratorCriticRanker,BootstrapFewShotRandomSearch,95.0,14.546664999999994,2117198,775191,178.27774999999903,27197160,9018053
5,5,HotpotQAConditional,SimplifiedBaleenWithInst,Baseline,29.5,1.2803400000000005,266764,61343,0.0,0,0
6,6,HotpotQA,RAG,Baseline,43.0,1.247457499999999,269839,57286,0.0,0,0
7,7,GSM8K,CoT,BootstrapFewShot,94.2,0.0,766590,106916,0.0,3197,1048
8,8,SWEUnderspecified,Predict,MIPROv2,84.0,6.857604999999997,4400642,5184,66.11231749999999,34650880,85550
9,9,HeartDisease,Predict,MIPROv2-lite,67.76,0.3958100000000002,150440,1971,3.366359999999988,1274164,25652
10,10,MMLU,CoT,BootstrapFewShotRandomSearch,84.8,1.648152500000001,436281,55745,27.11568749999992,7702203,490098
11,11,HotpotQA,RAG,BootstrapFewShot,46.8,4.774517499999997,1234839,50294,0.0516299999999999,15116,472
12,12,MATH,GeneratorCriticFuser,BootstrapFewShot,69.4,29.5257575,4089527,1501362,0.29873,11672,26955
13,13,Iris,GeneratorCriticFuser,Baseline,74.67,1.162007500000001,122203,85650,0.0,0,0
14,14,MMLU,Predict,Baseline,82.8,0.2456075,120021,10873,0.0,0,0
15,15,RAGQAArena,Predict,Baseline,50.33,3.1586174999999987,438899,205897,0.0,0,0
16,16,HotpotQA,SimplifiedBaleen,MIPROv2,55.6,5.652767500000012,2180463,140433,55.472117500000095,19625089,1594009
17,17,SWEUnderspecified,CoT,BootstrapFewShotRandomSearch,85.0,5.403414999999998,2711842,70781,87.75650250000004,49691842,1009758
18,18,HeartDisease,Predict,Baseline,65.13,0.2594200000000002,95872,1974,0.0,0,0
19,19,SWEUnderspecified,CoT,BootstrapFewShot,81.0,8.546995,5092242,69383,0.0,11640,677
20,20,HeartDisease,CoTBasedVote,Baseline,63.16,2.4674374999999977,498379,122149,0.0,0,0
21,21,IReRa,CoT,BootstrapFewShotRandomSearch,9.51,0.8199274999999995,209147,29706,1.5203150000000012,337934,67548
22,22,Judge,CoT,BootstrapFewShotRandomSearch,61.14,2.579652500000001,786873,62255,18.16426000000001,7937320,445664
23,23,GSM8K,CoT,Baseline,94.8,0.0,118090,118470,0.0,0,0
24,24,hover,Predict,BootstrapFewShotRandomSearch,44.0,0.0,2829642,138781,0.0,49986428,1588312
25,25,GSM8K,Predict,BootstrapFewShotRandomSearch,96.0,0.0,602590,84765,0.0,5129386,1063802
26,26,MMLU,Predict,BootstrapFewShot,82.2,1.1195325000000007,661021,6474,0.008305,3114,52
27,27,HotpotQA,GeneratorCriticFuser,Baseline,36.6,6.446272499999999,657713,480199,0.0,0,0
28,28,SWEValidity,Predict,Baseline,67.0,3.145885,1239042,5180,0.0,0,0
29,29,MMLU,GeneratorCriticFuser,MIPROv2-lite,82.8,11.20319249999998,1857845,511346,44.88162750000016,8897011,1747622
30,30,HeartDisease,CoTBasedVote,BootstrapFewShotRandomSearch,75.0,3.1768299999999976,1279468,106776,54.14369500000006,19381374,1861250
31,31,Judge,GeneratorCriticFuser,MIPROv2,62.0,14.571905000000012,5476678,539973,112.86063749999984,37119207,4910742
32,32,RAGQAArena,CoT,Baseline,46.22,3.032010000000003,405838,212504,0.0,0,0
33,33,HotpotQA,GeneratorCriticRanker,BootstrapFewShotRandomSearch,45.6,11.9860575,2268575,440790,120.17800749999986,21474319,5211845
34,34,MMLU,Predict,MIPROv2-lite,82.4,0.9697625000000004,362021,6471,5.333030000000002,2081931,33650
35,35,GSM8K,GeneratorCriticRanker,Baseline,92.0,10.000312499999993,723449,819169,0.0,0,0
36,36,SWEVerifiedAnnotationTask,UnderspecifiedAnnotationGenerator,Baseline,84.75,3.7332350000000014,1205442,71419,0.0,0,0
37,37,Judge,GeneratorCriticRanker,Baseline,56.29,10.343792500000008,1929805,554648,0.0,0,0
38,38,MATH,GeneratorCriticRanker,BootstrapFewShot,68.0,27.62506250000001,3796813,1425751,0.1372475,7719,11795
39,39,MMLU,GeneratorCriticFuser,BootstrapFewShotRandomSearch,84.0,18.75349749999998,3894607,503186,150.879437499999,32887139,4814111
40,40,HumanEval,GeneratorCriticRanker,MIPROv2-lite,69.51,3.2049125,373081,215413,35.070162500000016,4887625,2022758
41,41,Iris,GeneratorCriticRanker,MIPROv2,82.67,1.1863550000000012,118738,88951,47.81744000000011,10226815,2741750
42,42,GSM8K,GeneratorCriticFuser,BootstrapFewShot,82.4,21.950142499999995,3735325,872031,0.077365,7290,5914
43,43,Iris,GeneratorCriticRanker,MIPROv2-lite,81.33,1.1693725000000008,118753,87249,22.78735499999993,4209606,935566
44,44,HumanEval,GeneratorCriticRanker,BootstrapFewShotRandomSearch,79.27,5.069145000000003,904158,205147,64.04492500000005,11171530,2697626
45,45,RAGQAArena,Predict,MIPROv2-lite,50.89,4.383702500000004,704073,262352,17.106202499999988,2960245,918927
46,46,SWEUnderspecified,CoT,MIPROv2-lite,84.75,0.0,1205442,71419,24.39574,12852747,333549
47,47,MMLU,RAG,Baseline,84.0,1.601425,336398,76043,0.0,0,0
