,Unnamed: 0,score,cost,input_tokens,output_tokens,optimizer,optimizer_cost,optimizer_input_tokens,optimizer_output_tokens,benchmark,program
0,0,62.5,0.1889762999999999,1239042.0,5200.0,Baseline,,,,SWEValidity,Predict
1,1,48.78,0.031263,163180.0,28158.0,RuleInfer-lite,0.2353863,1320530.0,193986.0,HumanEval,CoT
2,2,68.5,0.4791603,5271842.0,5200.0,RuleInfer-lite,3.904773900000008,40796906.0,42842.0,SWEValidity,Predict
3,3,74.19,0.08559,291476.0,69781.0,Baseline,,,,IReRa,RAGBasedRank
4,4,48.0,1.099562700000002,12851450.0,130910.0,RuleInfer,7.316660250000024,80629551.0,800694.0,HotpotQA,SimplifiedBaleen
5,5,36.0,0.0169783499999999,191925.0,1052.0,RuleInfer,0.1583739000000012,1575150.0,14921.0,Iris,Predict
6,6,91.0,0.1168594499999998,1356647.0,6500.0,RuleInfer,0.729749999999998,8106692.0,46297.0,Scone,Predict
7,7,75.25,0.1957964999999997,1486038.0,71026.0,RuleInfer-lite,0.1887392999999998,1327242.0,68547.0,IReRa,RAGBasedRank
8,8,80.0,0.2127033,1205442.0,53513.0,Baseline,,,,SWEUnderspecified,CoT
9,9,31.6,0.0798004499999999,852339.0,7740.0,RuleInfer-lite,0.4929514500000006,5062727.0,57856.0,HotpotQA,Predict
10,10,88.8,0.04306365,111647.0,43861.0,Baseline,,,,Scone,CoT
11,11,31.6,0.0951500999999998,1074766.0,7732.0,RuleInfer,0.6210847500000002,6588473.0,55847.0,HotpotQA,Predict
12,12,57.33,0.02617755,258525.0,7398.0,RuleInfer,0.2286770999999999,2071230.0,66793.0,Iris,CoT
13,13,57.14,0.2491249499999999,2371673.0,42850.0,RuleInfer-lite,0.7828899000000001,7302198.0,136179.0,Judge,CoT
14,14,80.49,0.0155784,26404.0,19363.0,Baseline,,,,HumanEval,CoT
15,15,46.67,0.0073387499999999,22125.0,6700.0,Baseline,,,,Iris,CoT
16,16,0.0,0.0103600499999999,31295.0,9443.0,Baseline,,,,HotpotQAConditional,Predict
17,17,49.14,0.1858268999999999,771534.0,116828.0,Baseline,,,,Judge,Predict
18,18,14.5,0.0678946499999999,250639.0,50498.0,Baseline,,,,HotpotQAConditional,SimplifiedBaleenWithInst
19,19,58.86,0.2183224499999999,2260723.0,5570.0,RuleInfer,0.6777649500000003,6674989.0,24109.0,Judge,Predict
20,20,79.08,0.06926385,353059.0,27175.0,RuleInfer-lite,0.0628307999999999,307900.0,27743.0,IReRa,RAG
21,21,11.63,0.04650915,280465.0,7399.0,RuleInfer-lite,0.0430761,249086.0,9522.0,IReRa,Predict
22,22,31.2,0.03844185,91839.0,41110.0,Baseline,,,,HotpotQA,CoT
23,23,34.67,0.0130387499999999,149025.0,1051.0,RuleInfer-lite,0.1281002999999997,1226250.0,12218.0,Iris,Predict
