,benchmark,program,optimizer,score,cost,input_tokens,output_tokens,optimizer_cost,optimizer_input_tokens,optimizer_output_tokens
0,HeartDisease,CoT,Baseline,35.53,0.0,105318,53078,0.0,0,0
1,HeartDisease,CoT,BootstrapFewShot,65.78666666666668,0.0,269833,17830,0.0,4386,452
2,HeartDisease,CoT,BootstrapFewShot1_Teacher_gpt4o,35.53,0.0,267198,19482,0.0,0,0
3,HeartDisease,CoT,BootstrapFewShot2_Teacher_gpt4o,26.97,0.0,264310,18426,0.0,0,0
4,HeartDisease,CoT,BootstrapFewShot3_Teacher_gpt4o,60.53,0.0,270086,18537,0.0,0,0
5,HeartDisease,CoT,BootstrapFewShotRandomSearch,67.76,0.0,166574,22299,0.0,3701305,400104
6,HeartDisease,CoT,BootstrapFewShotRandomSearch_Teacher_gpt4o,67.76,0.0,166574,22299,0.0,3568371,404773
7,HeartDisease,CoT,MIPROv2,70.39,0.0,178886,26879,0.0,2918669,373253
8,HeartDisease,CoT,MIPROv2-lite,71.71,0.0,196974,28512,0.0,1600036,227527
9,HeartDisease,CoT,MIPROv2-lite-teacher-gpt4o,55.92,0.0,189678,22766,0.0,1498008,210690
10,HeartDisease,CoT,MIPROv2-teacher-gpt4o,67.11,0.0,172958,26800,0.0,2970986,387485
11,HeartDisease,CoT,RuleInfer,70.39,0.0,704806,15961,0.0,6276013,151824
12,HeartDisease,CoT,RuleInfer-lite,67.11,0.0,651758,16006,0.0,5892493,148648
13,HeartDisease,CoT,RuleInfer-lite-teacher-gpt4o,38.16,0.0,619686,15237,0.0,5565712,125431
14,HeartDisease,CoT,RuleInfer-teacher-gpt4o,65.13,0.0,663918,12332,0.0,5870216,111224
15,HeartDisease,CoTBasedVote,Baseline,44.08,0.0,550757,161379,0.0,0,0
16,HeartDisease,CoTBasedVote,BootstrapFewShot,54.826666666666675,0.0,1461820,88019,0.0,22257,2523
17,HeartDisease,CoTBasedVote,BootstrapFewShot1_Teacher_gpt4o,30.26,0.0,1322455,76673,0.0,0,0
18,HeartDisease,CoTBasedVote,BootstrapFewShot2_Teacher_gpt4o,31.58,0.0,1382314,80869,0.0,0,0
19,HeartDisease,CoTBasedVote,BootstrapFewShot3_Teacher_gpt4o,66.45,0.0,1363030,75936,0.0,0,0
20,HeartDisease,CoTBasedVote,BootstrapFewShotRandomSearch,61.84,0.0,1212770,80891,0.0,18719426,1588674
21,HeartDisease,CoTBasedVote,BootstrapFewShotRandomSearch_Teacher_gpt4o,68.42,0.0,730914,84502,0.0,17902943,1598097
22,HeartDisease,CoTBasedVote,MIPROv2,71.71,0.0,861513,90638,0.0,14894129,1498290
23,HeartDisease,CoTBasedVote,MIPROv2-lite,64.47,0.0,1244997,82749,0.0,9154521,855522
24,HeartDisease,CoTBasedVote,MIPROv2-lite-teacher-gpt4o,44.08,0.0,1252900,89592,0.0,8160765,775424
25,HeartDisease,CoTBasedVote,MIPROv2-teacher-gpt4o,64.47,0.0,935636,89820,0.0,15697178,1520074
26,HeartDisease,CoTBasedVote,RuleInfer,67.76,0.0,3101699,65792,0.0,27989766,618436
27,HeartDisease,CoTBasedVote,RuleInfer-lite,55.26,0.0,2885070,64964,0.0,26041084,605874
28,HeartDisease,CoTBasedVote,RuleInfer-lite-teacher-gpt4o,52.63,0.0,2783012,67657,0.0,24829039,605974
29,HeartDisease,CoTBasedVote,RuleInfer-teacher-gpt4o,52.63,0.0,2908581,70756,0.0,26141355,615080
30,HeartDisease,Predict,Baseline,74.34,0.0,100302,1976,0.0,0,0
31,HeartDisease,Predict,BootstrapFewShot,80.7,0.0,198950,1976,0.0,4936,65
32,HeartDisease,Predict,BootstrapFewShot1_Teacher_gpt4o,40.13,0.0,199102,1976,0.0,0,0
33,HeartDisease,Predict,BootstrapFewShot2_Teacher_gpt4o,29.61,0.0,199254,1976,0.0,0,0
34,HeartDisease,Predict,BootstrapFewShot3_Teacher_gpt4o,80.26,0.0,199102,1976,0.0,0,0
35,HeartDisease,Predict,BootstrapFewShotRandomSearch,80.26,0.0,198950,1976,0.0,2831167,34203
36,HeartDisease,Predict,BootstrapFewShotRandomSearch_Teacher_gpt4o,46.05,0.0,149246,1976,0.0,2784596,33592
37,HeartDisease,Predict,MIPROv2,73.68,0.0,152894,1976,0.0,2619778,33895
38,HeartDisease,Predict,MIPROv2-lite,75.0,0.0,165662,1976,0.0,1297006,20326
39,HeartDisease,Predict,MIPROv2-lite-teacher-gpt4o,74.34,0.0,100302,1976,0.0,1289569,19435
40,HeartDisease,Predict,MIPROv2-teacher-gpt4o,39.47,0.0,177366,1976,0.0,2389455,35141
41,HeartDisease,Predict,RuleInfer,78.29,0.0,546118,1976,0.0,5164334,25402
42,HeartDisease,Predict,RuleInfer-lite,76.32,0.0,512982,1976,0.0,4837118,23307
43,HeartDisease,Predict,RuleInfer-lite-teacher-gpt4o,74.34,0.0,509334,1976,0.0,4627176,17680
44,HeartDisease,Predict,RuleInfer-teacher-gpt4o,65.79,0.0,568462,1976,0.0,4933584,17680
45,HotpotQA,CoT,Baseline,17.0,0.0,113854,94074,0.0,0,0
46,HotpotQA,CoT,BootstrapFewShot,21.666666666666668,0.0,392699,87985,0.0,5880,752
47,HotpotQA,CoT,BootstrapFewShot1_Teacher_gpt4o,20.2,0.0,397924,64325,0.0,0,0
48,HotpotQA,CoT,BootstrapFewShot2_Teacher_gpt4o,28.2,0.0,438359,122308,0.0,0,0
49,HotpotQA,CoT,BootstrapFewShot3_Teacher_gpt4o,29.2,0.0,438536,113998,0.0,0,0
50,HotpotQA,CoT,BootstrapFewShotRandomSearch,18.4,0.0,297302,54709,0.0,3245138,654497
51,HotpotQA,CoT,BootstrapFewShotRandomSearch_Teacher_gpt4o,19.8,0.0,252326,66178,0.0,3430986,735854
52,HotpotQA,CoT,MIPROv2,18.2,0.0,256934,59608,0.0,1942758,508962
53,HotpotQA,CoT,MIPROv2-lite,19.2,0.0,390896,58081,0.0,1286658,228041
54,HotpotQA,CoT,MIPROv2-lite-teacher-gpt4o,21.0,0.0,493540,57602,0.0,1351225,231230
55,HotpotQA,CoT,MIPROv2-teacher-gpt4o,18.2,0.0,282305,63927,0.0,2094189,471270
56,HotpotQA,CoT,RuleInfer,25.0,0.0,1345488,14864,0.0,8195881,111927
57,HotpotQA,CoT,RuleInfer-lite,19.2,0.0,1138988,14627,0.0,7440481,87870
58,HotpotQA,CoT,RuleInfer-lite-teacher-gpt4o,19.6,0.0,1297988,14986,0.0,7681880,85926
59,HotpotQA,CoT,RuleInfer-teacher-gpt4o,18.4,0.0,1507646,22849,0.0,9149399,160681
60,HotpotQA,Predict,Baseline,10.4,0.0,87988,61308,0.0,0,0
61,HotpotQA,Predict,BootstrapFewShot,22.333333333333332,0.0,248958,15423,0.0,4417,930
62,HotpotQA,Predict,BootstrapFewShot1_Teacher_gpt4o,18.8,0.0,247811,8965,0.0,0,0
63,HotpotQA,Predict,BootstrapFewShot2_Teacher_gpt4o,18.6,0.0,247398,8951,0.0,0,0
64,HotpotQA,Predict,BootstrapFewShot3_Teacher_gpt4o,25.4,0.0,246988,22285,0.0,0,0
65,HotpotQA,Predict,BootstrapFewShotRandomSearch,19.4,0.0,184426,11985,0.0,2334979,129871
66,HotpotQA,Predict,BootstrapFewShotRandomSearch_Teacher_gpt4o,18.6,0.0,215827,8081,0.0,2273798,117333
67,HotpotQA,Predict,MIPROv2,18.6,0.0,252405,10318,0.0,1632059,89510
68,HotpotQA,Predict,MIPROv2-lite,18.4,0.0,250817,13246,0.0,804596,59121
69,HotpotQA,Predict,MIPROv2-lite-teacher-gpt4o,18.6,0.0,212051,12814,0.0,806927,54845
70,HotpotQA,Predict,MIPROv2-teacher-gpt4o,17.8,0.0,209749,11434,0.0,1488718,86016
71,HotpotQA,Predict,RuleInfer,26.8,0.0,1104988,7651,0.0,6417869,60508
72,HotpotQA,Predict,RuleInfer-lite,18.8,0.0,894988,7640,0.0,5277115,59745
73,HotpotQA,Predict,RuleInfer-lite-teacher-gpt4o,25.6,0.0,892988,9743,0.0,5424980,67069
74,HotpotQA,Predict,RuleInfer-teacher-gpt4o,25.8,0.0,1044488,8752,0.0,6045680,63732
75,HotpotQA,RAG,Baseline,31.0,0.0,291956,55419,0.0,0,0
76,HotpotQA,RAG,BootstrapFewShot,37.199999999999996,0.0,1232406,60267,0.0,5047,557
77,HotpotQA,RAG,BootstrapFewShot1_Teacher_gpt4o,32.4,0.0,1307226,49264,0.0,0,0
78,HotpotQA,RAG,BootstrapFewShot2_Teacher_gpt4o,38.8,0.0,1403890,68270,0.0,0,0
79,HotpotQA,RAG,BootstrapFewShot3_Teacher_gpt4o,37.6,0.0,1386180,61944,0.0,0,0
80,HotpotQA,RAG,BootstrapFewShotRandomSearch,32.0,0.0,415910,46614,0.0,10060457,591523
81,HotpotQA,RAG,BootstrapFewShotRandomSearch_Teacher_gpt4o,36.2,0.0,1384139,59257,0.0,9990054,571662
82,HotpotQA,RAG,MIPROv2,33.6,0.0,639528,66154,0.0,5425736,436881
83,HotpotQA,RAG,MIPROv2-lite,33.8,0.0,704808,64481,0.0,2957541,209341
84,HotpotQA,RAG,MIPROv2-lite-teacher-gpt4o,33.8,0.0,1314421,49953,0.0,2764913,194910
85,HotpotQA,RAG,MIPROv2-teacher-gpt4o,36.2,0.0,698895,56316,0.0,4540293,371311
86,HotpotQA,RAG,RuleInfer,41.8,0.0,2416654,35548,0.0,14043467,203320
87,HotpotQA,RAG,RuleInfer-lite,34.8,0.0,2169398,30974,0.0,12945053,178400
88,HotpotQA,RAG,RuleInfer-lite-teacher-gpt4o,34.2,0.0,2379145,56043,0.0,14150596,301858
89,HotpotQA,RAG,RuleInfer-teacher-gpt4o,34.2,0.0,2491747,46618,0.0,14883470,252547
90,HotpotQA,SimplifiedBaleen,Baseline,29.2,0.0,640949,143321,0.0,0,0
91,HotpotQA,SimplifiedBaleen,BootstrapFewShot,40.26666666666667,0.0,2445303,156982,0.0,10536,1867
92,HotpotQA,SimplifiedBaleen,BootstrapFewShot1_Teacher_gpt4o,39.6,0.0,2500072,136114,0.0,0,0
93,HotpotQA,SimplifiedBaleen,BootstrapFewShot2_Teacher_gpt4o,45.2,0.0,2506965,139047,0.0,0,0
94,HotpotQA,SimplifiedBaleen,BootstrapFewShot3_Teacher_gpt4o,45.8,0.0,2489479,138854,0.0,0,0
95,HotpotQA,SimplifiedBaleen,BootstrapFewShotRandomSearch,36.8,0.0,2192584,113759,0.0,20377608,1670347
96,HotpotQA,SimplifiedBaleen,BootstrapFewShotRandomSearch_Teacher_gpt4o,39.4,0.0,2458187,151494,0.0,19908824,1608948
97,HotpotQA,SimplifiedBaleen,MIPROv2,34.2,0.0,1501793,157449,0.0,12658245,1111054
98,HotpotQA,SimplifiedBaleen,MIPROv2-lite,37.6,0.0,1318997,140307,0.0,5593356,567704
99,HotpotQA,SimplifiedBaleen,MIPROv2-lite-teacher-gpt4o,35.0,0.0,1332920,151611,0.0,5165863,555940
100,HotpotQA,SimplifiedBaleen,MIPROv2-teacher-gpt4o,47.4,0.0,1384239,209906,0.0,11774284,1210232
101,HotpotQA,SimplifiedBaleen,RuleInfer,44.8,0.0,4319196,126875,0.0,26376430,757282
102,HotpotQA,SimplifiedBaleen,RuleInfer-lite,34.4,0.0,3671800,126887,0.0,22997760,719181
103,HotpotQA,SimplifiedBaleen,RuleInfer-lite-teacher-gpt4o,39.6,0.0,4160693,138072,0.0,24511764,809597
104,HotpotQA,SimplifiedBaleen,RuleInfer-teacher-gpt4o,40.2,0.0,4356600,156319,0.0,26611555,920875
105,HotpotQAConditional,Predict,Baseline,0.0,0.0,36531,10649,0.0,0,0
106,HotpotQAConditional,Predict,BootstrapFewShot,0.16666666666666666,0.0,91935,6922,0.0,45360,5982
107,HotpotQAConditional,Predict,BootstrapFewShot1_Teacher_gpt4o,0.5,0.0,101583,3117,0.0,0,0
108,HotpotQAConditional,Predict,BootstrapFewShot2_Teacher_gpt4o,0.0,0.0,100754,11382,0.0,0,0
109,HotpotQAConditional,Predict,BootstrapFewShot3_Teacher_gpt4o,0.0,0.0,104354,8342,0.0,0,0
110,HotpotQAConditional,Predict,BootstrapFewShotRandomSearch,0.5,0.0,77722,6087,0.0,2090408,118976
111,HotpotQAConditional,Predict,BootstrapFewShotRandomSearch_Teacher_gpt4o,0.5,0.0,77722,6087,0.0,1558702,75152
112,HotpotQAConditional,Predict,MIPROv2,0.0,0.0,39554,25690,0.0,1380629,235773
113,HotpotQAConditional,Predict,MIPROv2-lite,0.5,0.0,71154,3282,0.0,881830,56526
114,HotpotQAConditional,Predict,MIPROv2-lite-teacher-gpt4o,0.5,0.0,76389,3406,0.0,557945,40135
115,HotpotQAConditional,Predict,MIPROv2-teacher-gpt4o,0.0,0.0,76354,12655,0.0,1086225,208347
116,HotpotQAConditional,Predict,RuleInfer,0.0,0.0,441954,3078,0.0,4345350,46086
117,HotpotQAConditional,Predict,RuleInfer-lite,0.5,0.0,322354,3067,0.0,3736271,40153
118,HotpotQAConditional,Predict,RuleInfer-lite-teacher-gpt4o,0.5,0.0,397154,3211,0.0,4061740,49805
119,HotpotQAConditional,Predict,RuleInfer-teacher-gpt4o,0.5,0.0,451954,3134,0.0,4601940,43754
120,HotpotQAConditional,SimplifiedBaleen,Baseline,1.5,0.0,252017,53727,0.0,0,0
121,HotpotQAConditional,SimplifiedBaleen,BootstrapFewShot,2.3333333333333335,0.0,1149528,58440,0.0,165103,32928
122,HotpotQAConditional,SimplifiedBaleen,BootstrapFewShot1_Teacher_gpt4o,2.0,0.0,1045732,58450,0.0,0,0
123,HotpotQAConditional,SimplifiedBaleen,BootstrapFewShot2_Teacher_gpt4o,3.5,0.0,996017,64058,0.0,0,0
124,HotpotQAConditional,SimplifiedBaleen,BootstrapFewShot3_Teacher_gpt4o,2.5,0.0,1052841,74843,0.0,0,0
125,HotpotQAConditional,SimplifiedBaleen,BootstrapFewShotRandomSearch,1.5,0.0,1109073,51673,0.0,15762500,1269426
126,HotpotQAConditional,SimplifiedBaleen,BootstrapFewShotRandomSearch_Teacher_gpt4o,2.5,0.0,644680,44692,0.0,13784595,1028614
127,HotpotQAConditional,SimplifiedBaleen,MIPROv2,4.0,0.0,582217,65522,0.0,10406854,1048754
128,HotpotQAConditional,SimplifiedBaleen,MIPROv2-lite,1.5,0.0,559144,50113,0.0,5073496,512550
129,HotpotQAConditional,SimplifiedBaleen,MIPROv2-lite-teacher-gpt4o,2.0,0.0,737077,57713,0.0,4228797,415066
130,HotpotQAConditional,SimplifiedBaleen,MIPROv2-teacher-gpt4o,2.5,0.0,703622,83441,0.0,10058588,1035176
131,HotpotQAConditional,SimplifiedBaleen,RuleInfer,2.0,0.0,1623774,41200,0.0,15729075,436745
132,HotpotQAConditional,SimplifiedBaleen,RuleInfer-lite,2.0,0.0,1610098,40339,0.0,15157611,423208
133,HotpotQAConditional,SimplifiedBaleen,RuleInfer-lite-teacher-gpt4o,1.5,0.0,1815361,48797,0.0,18150503,509616
134,HotpotQAConditional,SimplifiedBaleen,RuleInfer-teacher-gpt4o,1.5,0.0,1999300,53694,0.0,19851041,520387
135,HotpotQAConditional,SimplifiedBaleenWithInst,Baseline,4.5,0.0,266269,48879,0.0,0,0
136,HotpotQAConditional,SimplifiedBaleenWithInst,BootstrapFewShot,12.5,0.0,1051734,52277,0.0,64314,12872
